epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.6687530875205994,0.5024044513702393,0.3312515318393707,1e-05,0.5190107226371765,0.9569212198257446,0.6659398078918457,0.4992247521877289,0.334061861038208,0.5148303508758545,0.9574694633483887
1,0.6705573201179504,0.5044413805007935,0.3294466733932495,1e-05,0.5205664038658142,0.9566763639450073,0.6664415001869202,0.4997851550579071,0.3335625231266022,0.5165991187095642,0.9518495798110962
2,0.6720636487007141,0.5061507225036621,0.32794222235679626,1e-05,0.5219525694847107,0.9561888575553894,0.6668850183486938,0.5002792477607727,0.33311864733695984,0.5165719985961914,0.9521394968032837
3,0.6735143661499023,0.5077974796295166,0.3264905512332916,1e-05,0.5233134627342224,0.9558250904083252,0.6672148704528809,0.500647246837616,0.33278888463974,0.5167260766029358,0.9512923359870911
4,0.6748393774032593,0.5093082189559937,0.32516661286354065,1e-05,0.524592399597168,0.9555037021636963,0.6674389243125916,0.5009068250656128,0.33256492018699646,0.516753077507019,0.9507554769515991
5,0.6759634017944336,0.5105847716331482,0.3240414261817932,1e-05,0.5255960822105408,0.9554607272148132,0.6676080822944641,0.5010977983474731,0.33239510655403137,0.5171294212341309,0.9495972990989685
6,0.6771441698074341,0.5119379162788391,0.3228624761104584,1e-05,0.5267825722694397,0.9552122950553894,0.6678937673568726,0.5014212727546692,0.3321109414100647,0.5163869261741638,0.9519848227500916
7,0.6782440543174744,0.513192355632782,0.32176315784454346,1e-05,0.5279104113578796,0.9549549221992493,0.6683540344238281,0.5019432306289673,0.331650048494339,0.5148726105690002,0.9579991698265076
8,0.6792764067649841,0.5143783092498779,0.3207286298274994,1e-05,0.528931200504303,0.9549368619918823,0.6680866479873657,0.5016406774520874,0.3319169282913208,0.516184389591217,0.9519358277320862
9,0.6803073883056641,0.5155628323554993,0.3196984529495239,1e-05,0.5300684571266174,0.9546029567718506,0.6681157946586609,0.5016756057739258,0.3318881392478943,0.5149655938148499,0.9559035301208496
10,0.6813165545463562,0.516720175743103,0.3186889588832855,1e-05,0.5311501622200012,0.9544569253921509,0.6682000160217285,0.5017686486244202,0.3318042457103729,0.5157451033592224,0.952926516532898
11,0.6821762323379517,0.5177109837532043,0.3178303837776184,1e-05,0.5320566296577454,0.9543778896331787,0.6681410670280457,0.5017015933990479,0.3318638503551483,0.5166258215904236,0.9492034316062927
12,0.6831099987030029,0.5187873244285583,0.3168947696685791,1e-05,0.5331143140792847,0.9541708827018738,0.667817234992981,0.5013357996940613,0.3321855664253235,0.5175937414169312,0.9442328214645386
13,0.6838986873626709,0.5196974873542786,0.3161074221134186,1e-06,0.5340895652770996,0.9538376331329346,0.6674646735191345,0.5009366273880005,0.33253946900367737,0.5222722887992859,0.927682638168335
14,0.6849157214164734,0.5208721160888672,0.3150898218154907,1e-06,0.5353538393974304,0.953717052936554,0.6672673225402832,0.5007185339927673,0.3327377438545227,0.5225365161895752,0.9260296821594238
15,0.6854932308197021,0.5215408205986023,0.3145119547843933,1e-06,0.5360307693481445,0.953778088092804,0.6672795414924622,0.5007298588752747,0.33272451162338257,0.5225213170051575,0.9260810613632202
16,0.6859219074249268,0.52203768491745,0.3140835165977478,1e-06,0.5364968180656433,0.9539309144020081,0.6669504046440125,0.5003626942634583,0.3330547511577606,0.5228338837623596,0.9238090515136719
17,0.6863473653793335,0.5225300192832947,0.31365999579429626,1e-06,0.5369670987129211,0.9540383815765381,0.6669285297393799,0.5003381967544556,0.3330763876438141,0.5230411887168884,0.9230600595474243
18,0.6863301992416382,0.5225101709365845,0.3136754035949707,1e-07,0.5370587706565857,0.9536327123641968,0.6672821640968323,0.5007302165031433,0.3327217698097229,0.5226274132728577,0.9256669282913208
19,0.6866200566291809,0.5228437185287476,0.3133866786956787,1e-07,0.5373210310935974,0.9539210200309753,0.6672534942626953,0.5007017254829407,0.33275145292282104,0.5226602554321289,0.9254677891731262
20,0.6867045164108276,0.5229450464248657,0.31330084800720215,1e-07,0.537429928779602,0.9539126753807068,0.6672869324684143,0.5007374286651611,0.332716703414917,0.5225619077682495,0.9259071946144104
21,0.6867697238922119,0.5230193734169006,0.3132364749908447,1e-07,0.5374881625175476,0.9539806246757507,0.6672555208206177,0.5007112622261047,0.33275043964385986,0.522571861743927,0.925767719745636
22,0.6868415474891663,0.523100733757019,0.31316375732421875,1e-07,0.5375680923461914,0.9539951086044312,0.6672382950782776,0.5006815791130066,0.332766056060791,0.5226194262504578,0.9255049228668213
23,0.6869016885757446,0.5231732726097107,0.31310325860977173,1e-07,0.5376394391059875,0.9540044665336609,0.6672215461730957,0.5006651282310486,0.33278346061706543,0.5225999355316162,0.925510585308075
24,0.6869520545005798,0.5232290625572205,0.3130534887313843,1e-07,0.537699818611145,0.9540022611618042,0.6672065258026123,0.5006539225578308,0.3327956795692444,0.5226070284843445,0.925468921661377
25,0.6870130300521851,0.5233014225959778,0.3129923939704895,1e-07,0.5377737283706665,0.954002857208252,0.6672089099884033,0.5006518363952637,0.33279624581336975,0.5226016044616699,0.9254692196846008
26,0.6870511174201965,0.5233430862426758,0.31295573711395264,1e-07,0.5377941131591797,0.9540749788284302,0.6672147512435913,0.5006561875343323,0.3327908217906952,0.5225704312324524,0.9255475401878357
27,0.6870927214622498,0.5233945250511169,0.3129129707813263,1e-07,0.5378496050834656,0.9540618062019348,0.6671969890594482,0.5006464123725891,0.3328090012073517,0.5225880146026611,0.9254751801490784
28,0.6871322393417358,0.5234377980232239,0.31287333369255066,1e-07,0.537903368473053,0.9540358781814575,0.6671603918075562,0.5005990266799927,0.3328445553779602,0.5226441025733948,0.9251349568367004
29,0.6871912479400635,0.5235081315040588,0.3128146231174469,1e-07,0.5379822850227356,0.9540359973907471,0.6671626567840576,0.5005990266799927,0.33284154534339905,0.522643506526947,0.9251296520233154
